Caiane,,Não,
Caíco,M,Sim,
Caila,,Não,
Cailane,,Não,
Cailany,,Não,
Caio,M,Sim,
Caionara,,Não,
Caique,,Não,
Caiús,,Não,
Caleb,M,Sim,
Calebe,,Não,
Calei,,Não,
Cali,,Não,
Calila,F,Sim,
Calisto,M,Sim,
Caluxo,M,Não,
Calvin,,Não,
Camala,,Não,
Câmea,,Não,
Camélia,F,Sim,
Camila,F,Sim,
Camões,,Não,
Candice,F,Sim,
Cândido,M,Sim,
Candinho,,Não,
Candisse,,Não,
Candy,,Não,
Cânia,,Sim,
Canto,M,Sim,
Capilupi,,Não,
Cardia,,Não,
Cárdia,,Não,
Cardinal,,Não,
Cardo,,Não,
Carel,,Não,
Carela,,Sim,
Cáren,F,Sim,revoga o despacho de 05-07-1978
Carenina,,Não,
Cária,,Não,
Carícia,,Não,
Cárin,F,Sim,
Carina,F,Sim,
Carine,,Não,
Cario,,Não,
Carisa,,Sim,
Carísia,F,Sim,
Carissa,F,Sim,
Cárita,,Sim,
Carla,F,Sim,
Carla da Agonia,,Sim,
Carlinda,,Sim,
Carlisa,,Não,
Carlo,M,Sim,
Carlos,M,Sim,
Carlota,F,Sim,
Carlotta,,Não,
Carma,,Não,
Carmália,,Não,
Carmélia,,Sim,
Carmelina,F,Sim,
Carmelinda,F,Sim,
Carmelita,,Sim,
Carmem,,Não,
Cármen,,Sim,
Carmencita,,Não,
Carmério,M,Sim,
Carmezinda,F,Sim,
Carmim,M,Sim,
Carmin,,Não,
Carmina,,Sim,
Cármina,,Não,
Carminda,,Sim,
Carminho,F,Sim,
Carmo,F,Sim,
Carmo Sofia,,Sim,
Carmorinda,F,Sim,
Carol,F,Sim,
Carola,,Não,
Carole,,Sim,
Carolina,F,Sim,
Carolina do Carmo,F,Sim,
Caroline,,Não,
Carónia,,Não,
Carrene,,Não,
Carsta,,Sim,
Cassandra,F,Sim,
Cássia,F,Sim,
Cassiano,M,Sim,
Cassilda,F,Sim,
Cássio,M,Sim,
Casta,,Sim,
Castália,,Não,
Castelina,F,Sim,
Castelino,M,Sim,
Castor,M,Sim,
Castorina,,Sim,
Castra,,Não,
Cataleia,F,Não,
Catalina,F,Sim,
Catarina,F,Sim,
Catarino,M,Sim,
Cate,,Não,
Catelina,,Não,
Cateline,,Não,
Caterina,F,Sim,
Catharina,,Não,
Catherina,,Não,
Catherine,,Não,
Cati,,Não,
Cátia,F,Sim,
Cátia de Jesus,,Sim,
Catiana,,Não,
Catila,,Sim,
Catilina,,Sim,
Cátio,,Não,
Catiúsca,,Não,
Catrina,,Não,
Catrine,,Não,
Catuchia,,Não,
Cauã,M,Não,
Cayetana,,Não,
Ceara,,Não,
Ceárina,,Não,
Cecília,F,Sim,
Cédric,,Não,
Cedrico,,Sim,
Ceila,,Não,
Célcia,,Não,
Celder,,Não,
Celénia,,Não,
Celeste,F,Sim,
Celestiano,,Não,
Célia,F,Sim,
Célica,,Não,
Celide,,Não,
Celina,F,Sim,
Celinda,,Não,
Celine,,Não,
Celinia,,Sim,
Celino,M,Sim,
Célio,M,Sim,
Celisa,,Não,
Celisia,,Não,
Celísio,,Sim,
Celite,,Não,
Celma,,Não,
Celmo,,Não,
Celsa,F,Sim,
Célsia,,Não,
Célsio,M,Sim,
Celso,M,Sim,
Celta,,Não,
Celto,M,Sim,
Celton,,Não,
Cereja,F,Sim,como segundo elemento do nome
Ceres,F,Sim,
Cesaldino,,Não,
Cesaltina,,Sim,
Cesarina,F,Sim,
Cesário,M,Sim,
Césaro,,Sim,
Céser,,Não,
Céu,,Sim,"como segundo elemento do nome, precedido da partícula ""do"""
Chambel,,Não,
Chandlier,,Não,
Chantal,,Sim,"de preferência precedido de ""MARIA"""
Chantel,,Não,
Chantelle,,Não,
Charbel,M,Sim,
Charifa,,Não,
Charlene,,Não,
Charli,,Não,
Charlie,,Não,
Charlotte,,Não,
Cheila,F,Sim,
Cheldecarlo,,Não,
Cheldoncarlo,,Não,
Chelsea,,Não,
Chema,,Sim,
Chenoa,,Não,
Cherricarlo,,Não,
Chevrolet,,Não,
Cheyenne,,Não,
Chianda Kady,,Não,
Chiara,,Não,
Chila,,Não,
Chimene,,Não,
Chloe,F,Sim,
Chloé,,Não,
Chrisna,,Não,
Christian,,Não,
Christiana,,Não,
Christiane,,Não,
Cibele,F,Sim,
Cícero,M,Sim,
Cicínia,,Não,
Cid,,Sim,
Cidália,,Sim,
Cidalina,,Sim,
Cidalisa,F,Sim,
Cildo,,Sim,
Cilecina,,Não,
Cilene,,Não,
Cília,,Não,
Cílio,M,Sim,
Cilísia,,Não,
Cimara,,Não,
Cinara,,Sim,
Cínara,,Sim,
Cinda,,Não,
Cinderela,F,Sim,
Cindi,,Não,
Cíndia,,Não,
Cinira,F,Sim,
Cinthía,,Não,
Cíntia,F,Sim,
Cinzandra,,Não,
Cipora,,Sim,
Ciranda,,Não,
Circe,F,Sim,
Cireneu,,Sim,"só no conjunto ""SIMÃO CIRENEU"""
Círia,F,Sim,
Ciril,,Não,
Cirila,F,Sim,
Cirilo,,Sim,
Ciro,,Sim,
Cirolina,,Não,
Ciros,,Não,
Cirus,,Não,
Cisaltina,,Não,
Cisandro,,Não,
Cisela,,Não,
Cisério,,Não,
Cisina,,Não,
Cita,F,Sim,
Cizandra,,Não,
Cizandro,,Não,
Cizina,,Sim,
Clara,F,Sim,
Clara de Fátima,,Sim,
Clarence,,Não,
Claret,,Não,
Clarina,,Sim,
Clarinda,,Sim,
Clarindo,,Sim,
Clarinha,F,Sim,revoga anterior despacho
Clarissa,,Não,
